Poprzednik;Nastepnik;Wsparcie;Zaufanie;Przyrost;Korelacja
Bread;Scandinavian;0.00697;0.02131;0.32721;
Bread;Hot chocolate;0.01553;0.04747;0.32721;
Bread+Hot chocolate;Coffee;0.00761;0.01590;0.47839;
Bread;Jam;0.00539;0.01647;0.32721;
Bread;Cookies;0.01574;0.04811;0.32721;
Bread+Cookies;Coffee;0.00761;0.01590;0.47839;
Bread;Muffin;0.00856;0.02615;0.32721;
Bread;Coffee;0.11421;0.34905;0.32721;
Bread+Coffee;Hot chocolate;0.00761;0.13043;0.05832;
Bread+Coffee;Cookies;0.00761;0.13981;0.05441;
Bread+Coffee;Pastry;0.01479;0.17178;0.08611;
Bread+Coffee;Medialuna;0.00972;0.15726;0.06181;
Bread+Coffee;Tea;0.00951;0.06667;0.14263;
Bread+Coffee;Cake;0.01532;0.14751;0.10386;
Bread+Coffee;Sandwich;0.01088;0.15147;0.07184;
Bread+Coffee;Alfajores;0.00750;0.20640;0.03634;
Bread+Coffee;Brownie;0.00518;0.12929;0.04004;
Bread;Pastry;0.03307;0.10107;0.32721;
Bread+Pastry;Coffee;0.01479;0.03092;0.47839;
Bread;Medialuna;0.01838;0.05618;0.32721;
Bread+Medialuna;Coffee;0.00972;0.02032;0.47839;
Bread;Tea;0.03212;0.09816;0.32721;
Bread+Tea;Coffee;0.00951;0.01988;0.47839;
Bread+Tea;Cake;0.00676;0.06511;0.10386;
Bread;Farm House;0.00539;0.01647;0.32721;
Bread;Juice;0.00803;0.02454;0.32721;
Bread;Soup;0.00824;0.02519;0.32721;
Bread;Cake;0.02694;0.08234;0.32721;
Bread+Cake;Coffee;0.01532;0.03202;0.47839;
Bread+Cake;Tea;0.00676;0.04741;0.14263;
Bread;Sandwich;0.02113;0.06458;0.32721;
Bread+Sandwich;Coffee;0.01088;0.02275;0.47839;
Bread;Alfajores;0.01278;0.03907;0.32721;
Bread+Alfajores;Coffee;0.00750;0.01568;0.47839;
Bread;Brownie;0.01215;0.03713;0.32721;
Bread+Brownie;Coffee;0.00518;0.01082;0.47839;
Bread;Truffles;0.00539;0.01647;0.32721;
Bread;Jammie Dodgers;0.00518;0.01582;0.32721;
Bread;Tiffin;0.00549;0.01679;0.32721;
Bread;Toast;0.00814;0.02486;0.32721;
Bread;Scone;0.01025;0.03132;0.32721;
Bread;Spanish Brunch;0.00518;0.01582;0.32721;
Scandinavian;Bread;0.00697;0.24000;0.02905;
Scandinavian;Coffee;0.00592;0.20364;0.02905;
Hot chocolate;Bread;0.01553;0.26630;0.05832;
Hot chocolate+Bread;Coffee;0.00761;0.01590;0.47839;
Hot chocolate;Cookies;0.00803;0.13768;0.05832;
Hot chocolate+Cookies;Coffee;0.00644;0.01347;0.47839;
Hot chocolate;Coffee;0.03603;0.61775;0.05832;
Hot chocolate+Coffee;Bread;0.00761;0.02325;0.32721;
Hot chocolate+Coffee;Cookies;0.00644;0.11845;0.05441;
Hot chocolate+Coffee;Pastry;0.00528;0.06135;0.08611;
Hot chocolate+Coffee;Cake;0.00919;0.08850;0.10386;
Hot chocolate;Pastry;0.00634;0.10870;0.05832;
Hot chocolate+Pastry;Coffee;0.00528;0.01104;0.47839;
Hot chocolate;Medialuna;0.00560;0.09601;0.05832;
Hot chocolate;Tea;0.00877;0.15036;0.05832;
Hot chocolate;Cake;0.01226;0.21014;0.05832;
Hot chocolate+Cake;Coffee;0.00919;0.01921;0.47839;
Hot chocolate;Sandwich;0.00518;0.08877;0.05832;
Jam;Bread;0.00539;0.35915;0.01500;
Jam;Coffee;0.00539;0.35915;0.01500;
Cookies;Bread;0.01574;0.28932;0.05441;
Cookies+Bread;Coffee;0.00761;0.01590;0.47839;
Cookies;Hot chocolate;0.00803;0.14757;0.05441;
Cookies+Hot chocolate;Coffee;0.00644;0.01347;0.47839;
Cookies;Coffee;0.04036;0.74175;0.05441;
Cookies+Coffee;Bread;0.00761;0.02325;0.32721;
Cookies+Coffee;Hot chocolate;0.00644;0.11051;0.05832;
